ID,lang,sent,labels
fc76cef4-3a91-4394-b6d4-be7c4ed840d5,train,"his  playlist  includes  sonny  sharrock  ,  gza  ,  country  teasers  and  the  notorious  b.i.g. ", O  O  O  B-PER  I-PER  O  B-PER  O  B-GRP  I-GRP  O  B-PER  I-PER  I-PER
ff57d715-80cc-4fb2-9444-901a55ad5dc1,train,"it  is  a  series  of  badminton  tournaments  ,  sanctioned  by  badminton  world  federation  (  bwf  )  since  2007  . ", O  O  O  O  O  O  O  O  O  O  B-GRP  I-GRP  I-GRP  O  O  O  O  O  O
f1f78d1e-1d16-41fd-a9b3-52559949b11c,train,"all  songs  written  by  m.o.d.  ,  unless  otherwise  stated ", O  O  O  O  B-GRP  O  O  O  O
aacf70c5-dec4-4b8f-836e-ba2c4607de39,train,"he  worked  in  a  bookstore  before  becoming  a  journalist  ,  first  for  le  devoir  ,  and  then  for  cité  libre  ,  for  which  he  later  became  the  director  . ", O  O  O  O  B-GRP  O  O  O  O  O  O  O  B-GRP  I-GRP  O  O  O  O  B-CW  I-CW  O  O  O  O  O  O  O  O  O
0fb4a07e-a6f4-4479-97fe-e2f29d1984fc,train,"kingdom  hospital  ,  lewiston  from  stephen  king  miniseries  of  the  same  name ", B-CW  I-CW  O  B-LOC  O  B-PER  I-PER  O  O  O  O  O
5806a9e5-0c0a-4850-8148-c3151359b2f9,train,rinder  did  not  speak  on  camera  because  he  promised  his  first  interview  to  the  bbc  . , O  O  O  O  O  O  O  O  O  O  O  O  O  O  B-CORP  O
37495040-c9c9-437f-aa23-90ad96b89d8f,train,indigenous  outlaw  musquito  defied  colonial  law  and  led  attacks  on  settlers  . , O  O  B-PER  O  O  O  O  O  O  O  O  O
a52dd345-0ad8-40a7-88a5-5053fc80a23d,train,a  code  generation  usually  converts  some  intermediate  representation  of  source  code  into  machine  code  . , O  B-CW  I-CW  O  O  O  O  O  O  O  O  O  O  O  O
a97f0d75-57e7-4a16-b956-d70525bbc2c5,train,the  main  contractor  was  ssangyong  engineering  and  construction  . , O  O  O  O  B-CORP  I-CORP  I-CORP  I-CORP  O
f6d6a381-5ed0-423c-8076-63659fbea283,train,"in  2010  ,  the  musical  instrument  maestro  raghav  sachar  was  the  highlight  of  the  event  . ", O  O  O  O  O  O  O  B-PER  I-PER  O  O  O  O  O  O  O
