,ID,none_sent,tags_sent,none_pred,tags_pred,true
86293,99770bb0-0556-4c1a-b777-467b5c62ca2c,spr  seedlings ,spr  seedlings spr can refer to:,O O,B-PROD O,B-PROD O
91297,9b5cb51f-4174-47de-ac26-53eb7443e9f8,backyard  m-25 ,backyard  m-25 m25 or m-25 may be:,B-PROD I-PROD,O B-PROD,O B-PROD
170296,11571b33-b83f-4b31-8bed-352a0f707e9c,pronar  erie  pa ,pronar  erie  pa pronar sp. z o.o.,O B-PER I-PER,B-CORP O O,B-CORP O O
87072,15e5e970-f760-4a72-a274-60568d1cd10e,obsessed  author ,obsessed  author obsessed may refer to,O O,B-CW O,B-CW O
173299,87c2c8f4-1c9c-425d-803f-c91686630c5c,mayor  of  arugba ,mayor  of  arugba arugba is a 2008 film.,O O B-LOC,O O B-CW,O O B-CW
133121,58f64f7b-a502-4431-9c33-a909c3af6f04,movement  for!  mississippi ,movement  for!  mississippi movement for!,B-GRP I-GRP B-LOC,B-GRP I-GRP O,B-GRP I-GRP O
216846,a28742a3-e58a-4ddc-b8dc-b23791190e56,define  toikka ,define  toikka toikka is a finnish surname.,O B-CORP,O B-PER,O B-PER
96667,1f04c7eb-8e96-445a-a0da-5582f58b8a1c,where  was  nu  pogodi ,"where  was  nu  pogodi well, just you wait!",O O B-LOC I-LOC,O O B-CW I-CW,O O B-CW I-CW
92160,d42fb906-0847-4f65-9ae4-6aca695c1c4a,wish  ko  lang  wasp ,wish  ko  lang  wasp wish ko lang! (transl.,O O O B-PROD,B-CW I-CW I-CW O,B-CW I-CW I-CW O
154576,8f1f9b61-7f67-4b44-8517-b3ccb284169a,words  to  describe  pto ,words  to  describe  pto pto may stand for:,O O O B-LOC,O O O B-GRP,O O O B-GRP
17236,f0361710-e369-4ad7-8cd5-afe79e9033f6,ga  chak  de!  india ,ga  chak  de!  india chak de! india (transl.,B-CW I-CW I-CW O,O B-CW I-CW I-CW,O B-CW I-CW I-CW
208154,944968fc-310a-49af-8c64-0dcd539bab6f,mormon  claydon ,mormon  claydon claydon  is a place name in:,B-LOC I-LOC,O B-LOC,O B-LOC
41193,a7347a8d-663a-45c7-9b8b-560c201a6ce4,kamikaze  explorer!  wave ,kamikaze  explorer!  wave kamikaze explorer!,B-CW I-CW I-CW,B-CW I-CW O,B-CW I-CW O
158173,89291d36-9cbb-436b-840b-79468b1ca7d2,calories  in  a  implant ,calories  in  a  implant implant can refer to:,O O O O,O O O B-PROD,O O O B-PROD
109629,6acbfb3a-0eae-4405-80b3-415ba7e7ff95,how  to  cook  eyde ,how  to  cook  eyde eyde is a norwegian surname.,O O O B-PROD,O O O B-PER,O O O B-PER
165199,34f5f9f2-d003-43ab-ad95-72e856cfa356,open  family  life ,open  family  life family life may also refer to:,O O O,O B-CW I-CW,O B-CW I-CW
101915,b6d148bc-2413-4bc2-97aa-b130ec4b4f8e,what  is  the  clue! ,what  is  the  clue! the clue! (known as der clou!,O O O B-CW,O O B-CW I-CW,O O B-CW I-CW
76662,eb03ae19-a866-4e56-9240-54c366062f7d,original  carad ,original  carad carad was a brand of the ets. g.l.,O B-PROD,O B-CORP,O B-CORP
28364,a6b32304-f5bc-4b2d-b36e-09815e60d57e,a  glimmande  nymf ,a  glimmande  nymf glimmande nymf! blixtrande öga!,O O B-PROD,O B-CW I-CW,O B-CW I-CW
139834,c6b9917f-7177-4f9c-8ee6-1911d404db79,how  to  make  ready  steady  go! ,how  to  make  ready  steady  go! ready steady go!,O O O O B-PROD I-PROD,O O O B-CW I-CW I-CW,O O O B-CW I-CW I-CW
89651,825ef309-d677-4da9-8898-c823e0e073a7,download  sanchez ,download  sanchez sánchez is a spanish family name.,O B-CW,O B-PER,O B-PER
59738,18313452-2259-4fc9-b856-d98032d34fb7,bench  pay  online ,bench  pay  online bench or the bench can refer to:,B-PROD I-PROD O,B-CORP O O,B-CORP O O
153697,eb2297f5-1346-4479-ab9b-c4a9dae682de,sabah  electricity  free ,sabah  electricity  free sabah electricity sdn. bhd.,B-LOC O O,B-CORP I-CORP O,B-CORP I-CORP O
189748,309e53bf-d325-498b-80d8-5acfa12a97d8,willème  800 ,willème  800 willème was a french truck manufacturer.,B-PROD O,B-CORP O,B-CORP O
200224,53f55c62-c902-450e-9fad-81441ec95edc,what  is  shibasaki ,what  is  shibasaki shibasaki  is a japanese surname.,O O B-LOC,O O B-PER,O O B-PER
214385,a9a65f56-2ce5-4468-91a8-2a428a633e08,san  corentin  fila ,san  corentin  fila corentin fila  is a french actor.,B-LOC I-LOC I-LOC,O B-PER I-PER,O B-PER I-PER
123003,ddb24cd4-5924-4819-b5b6-52aaa517bd77,san  megan  danso ,san  megan  danso megan danso  is a canadian actress.,B-LOC I-LOC O,O B-PER I-PER,O B-PER I-PER
13025,d2ab5a3f-cea5-453f-af8a-594abdc0da5d,st.  ekrem  bora ,st.  ekrem  bora ekrem bora  was a turkish film actor.,B-LOC I-LOC I-LOC,O B-PER I-PER,O B-PER I-PER
5712,8aec4588-ae1a-464b-8999-adbd314954bd,do  you  like  worms  information ,"do  you  like  worms  information ""do you like worms?""",B-CW I-CW I-CW B-CW O,B-CW I-CW I-CW I-CW O,B-CW I-CW I-CW I-CW O
55099,c1f00ba5-ca0a-4bad-bbb5-f326f85d9f29,levent  üzümcü  time ,levent  üzümcü  time levent üzümcü  is a turkish actor.,B-PER I-PER B-CW,B-PER I-PER O,B-PER I-PER O
